Headers,,,,,
Test Date,12/14/2022,12/14/2022,
Test Time,3:39:07 PM,3:39:07 PM,
Test ID,Drop 4,Drop 4,
Test Description,7 ft| 50lb| 2in|7 ft| 50lb| 2in,
Sample Rate (Hz),10000,10000,
Hardware AA Filter (-3dB),2900,2900,
Data Channel Number,1,2,
ISO Channel Code,????????????????,????????????????,
Channel Description,ACC,Pressure,
Channel Location,NONE,NONE,
Sensor S/N,AC_64B-2000_A282153,PT_XTEL-190S-25D,
Software Filter (SAE Class),AdHoc(0),AdHoc(0),
Software Filter (-3dB),0,0,
Engineering Unit,g ,psi ,
User Comment,,,
Number of Pre-Zero Data Pts,5001,5001,
Number of Post-Zero Data Pts,25001,25001,
Data Zero (CNTS),-38,0,
Scale Factor (EU/CNT),-0.10130542099808,-0.00095384767677509,
Scale Factor (mV/CNT),-0.007659618742764,-0.00190769915934652,
Data Starts Here,,,,,
Time,Chan 0:AC_64B-2000_A282153,Chan 1:PT_XTEL-190S-25D,
-0.444300,1.519581,0.426370
-0.444200,1.722192,0.428278
-0.444100,1.316970,0.423508
-0.444000,1.823498,0.427324
-0.443900,1.722192,0.429231
-0.443800,2.026108,0.426370
-0.443700,1.823498,0.431139
-0.443600,1.316970,0.428278
-0.443500,1.418276,0.424462
-0.443400,1.722192,0.426370
-0.443300,1.620887,0.426370
-0.443200,1.418276,0.423508
-0.443100,1.316970,0.423508
-0.443000,1.519581,0.427324
-0.442900,1.722192,0.427324
-0.442800,1.620887,0.422555
-0.442700,1.823498,0.426370
-0.442600,1.620887,0.425416
-0.442500,1.722192,0.430185
-0.442400,1.418276,0.429231
-0.442300,1.722192,0.427324
-0.442200,1.722192,0.425416
-0.442100,1.519581,0.423508
-0.442000,1.418276,0.420647
-0.441900,1.722192,0.429231
-0.441800,1.924803,0.431139
-0.441700,1.519581,0.425416
-0.441600,1.316970,0.427324
-0.441500,1.418276,0.426370
-0.441400,1.823498,0.429231
-0.441300,1.316970,0.424462
-0.441200,1.620887,0.425416
-0.441100,1.418276,0.427324
-0.441000,1.722192,0.428278
-0.440900,1.722192,0.430185
-0.440800,1.316970,0.426370
-0.440700,1.620887,0.428278
-0.440600,1.316970,0.431139
-0.440500,1.722192,0.426370
-0.440400,1.823498,0.424462
-0.440300,1.620887,0.426370
-0.440200,1.620887,0.422555
-0.440100,1.924803,0.429231
-0.440000,1.519581,0.424462
-0.439900,1.316970,0.424462
-0.439800,2.026108,0.430185
-0.439700,1.620887,0.427324
-0.439600,1.722192,0.427324
-0.439500,1.316970,0.425416
-0.439400,1.215665,0.427324
-0.439300,1.620887,0.426370
-0.439200,1.316970,0.427324
-0.439100,1.519581,0.425416
-0.439000,1.620887,0.427324
-0.438900,1.418276,0.423508
-0.438800,1.722192,0.427324
-0.438700,1.823498,0.425416
-0.438600,1.418276,0.426370
-0.438500,1.316970,0.427324
-0.438400,1.620887,0.428278
-0.438300,1.418276,0.430185
-0.438200,1.620887,0.424462
-0.438100,1.418276,0.424462
-0.438000,1.620887,0.426370
-0.437900,1.924803,0.429231
-0.437800,1.924803,0.422555
-0.437700,1.519581,0.427324
-0.437600,1.823498,0.426370
-0.437500,2.228719,0.430185
-0.437400,1.620887,0.430185
-0.437300,1.418276,0.426370
-0.437200,1.620887,0.426370
-0.437100,1.620887,0.421601
-0.437000,1.620887,0.424462
-0.436900,1.519581,0.424462
-0.436800,2.127414,0.426370
-0.436700,1.519581,0.424462
-0.436600,1.722192,0.428278
-0.436500,1.519581,0.428278
-0.436400,1.823498,0.425416
-0.436300,1.620887,0.428278
-0.436200,1.114360,0.428278
-0.436100,1.316970,0.428278
-0.436000,1.823498,0.429231
-0.435900,1.519581,0.427324
-0.435800,1.722192,0.426370
-0.435700,1.722192,0.426370
-0.435600,1.722192,0.429231
-0.435500,1.418276,0.425416
-0.435400,1.215665,0.423508
-0.435300,1.620887,0.426370
-0.435200,1.418276,0.427324
-0.435100,1.924803,0.429231
-0.435000,1.114360,0.421601
-0.434900,1.924803,0.428278
-0.434800,1.620887,0.427324
-0.434700,1.620887,0.424462
-0.434600,2.127414,0.427324
-0.434500,2.026108,0.426370
-0.434400,1.519581,0.424462
-0.434300,1.823498,0.421601
-0.434200,2.026108,0.421601
-0.434100,1.722192,0.427324
-0.434000,2.026108,0.428278
-0.433900,1.620887,0.427324
-0.433800,1.722192,0.425416
-0.433700,1.620887,0.426370
-0.433600,1.823498,0.426370
-0.433500,1.620887,0.425416
-0.433400,1.519581,0.426370
-0.433300,1.722192,0.425416
-0.433200,1.418276,0.425416
-0.433100,1.823498,0.428278
-0.433000,1.316970,0.426370
-0.432900,1.722192,0.426370
-0.432800,1.620887,0.424462
-0.432700,1.519581,0.424462
-0.432600,1.316970,0.423508
-0.432500,1.722192,0.426370
-0.432400,1.519581,0.424462
-0.432300,1.620887,0.425416
-0.432200,1.519581,0.427324
-0.432100,1.620887,0.429231
-0.432000,1.924803,0.424462
-0.431900,1.620887,0.427324
-0.431800,1.114360,0.424462
-0.431700,1.823498,0.424462
-0.431600,1.316970,0.425416
-0.431500,1.823498,0.427324
-0.431400,1.620887,0.427324
-0.431300,1.519581,0.423508
-0.431200,1.924803,0.419693
-0.431100,1.418276,0.423508
-0.431000,1.722192,0.424462
-0.430900,1.418276,0.424462
-0.430800,1.823498,0.427324
-0.430700,1.722192,0.426370
-0.430600,1.823498,0.423508
-0.430500,1.722192,0.423508
-0.430400,1.722192,0.429231
-0.430300,1.215665,0.423508
-0.430200,1.418276,0.419693
-0.430100,1.924803,0.424462
-0.430000,1.722192,0.422555
-0.429900,1.620887,0.422555
-0.429800,1.924803,0.427324
-0.429700,2.026108,0.426370
-0.429600,1.823498,0.422555
-0.429500,1.519581,0.422555
-0.429400,1.823498,0.423508
-0.429300,1.823498,0.426370
-0.429200,1.722192,0.428278
-0.429100,1.316970,0.425416
-0.429000,1.620887,0.423508
-0.428900,1.418276,0.427324
-0.428800,1.418276,0.424462
-0.428700,1.620887,0.425416
-0.428600,1.722192,0.425416
-0.428500,1.823498,0.430185
-0.428400,1.519581,0.431139
